customer_id,latitude,longitude,demand,start_hour,end_hour
C1,17.349816,78.675357,15,12,18
C2,17.262407,78.277997,15,10,18
C3,17.440446,78.554036,26,12,15
C4,17.4888,78.669276,6,11,18
C5,17.446993,78.505827,16,8,14
C6,17.40991,78.39993,20,13,19
C7,17.51407,78.299837,27,11,14
C8,17.21858,78.503772,25,8,15
C9,17.579554,78.682816,22,9,14
C10,17.206387,78.315447,19,11,17
C11,17.398071,78.217194,18,8,17
C12,17.272894,78.577681,10,13,15
C13,17.42708,78.215657,22,9,17
C14,17.5758,78.647414,18,13,17
C15,17.218091,78.362665,20,12,15
C16,17.415877,78.493376,29,11,17
C17,17.417078,78.270462,19,12,14
C18,17.206255,78.411701,5,11,16
C19,17.279537,78.555671,7,8,16
C20,17.229618,78.379233,13,11,14
C21,17.449319,78.365449,20,13,18
C22,17.491842,78.518779,7,8,16
C23,17.247838,78.556622,5,12,15
C24,17.294394,78.328034,13,9,15
C25,17.375735,78.30086,11,8,17
C26,17.42531,78.547758,9,12,16
C27,17.281224,78.671427,11,10,16
C28,17.264489,78.664849,17,13,14
C29,17.242198,78.428267,16,11,17
C30,17.557024,78.469671,27,11,14
C31,17.327201,78.255026,29,10,19
C32,17.200208,78.376284,7,13,16
C33,17.366964,78.311054,23,9,17
C34,17.29765,78.284146,28,8,17
C35,17.345452,78.685891,24,11,19
C36,17.478522,78.556135,9,8,14
C37,17.306712,78.688307,26,12,14
C38,17.453741,78.540353,25,11,15
C39,17.59426,78.321028,8,10,16
C40,17.296864,78.60157,9,11,15
C41,17.453412,78.467887,20,8,14
C42,17.328312,78.293259,7,11,17
C43,17.471026,78.208294,7,10,17
C44,17.458069,78.287183,5,9,14
C45,17.470276,78.567608,22,13,15
C46,17.303177,78.529992,20,8,17
C47,17.41186,78.320926,20,13,17
C48,17.423317,78.641318,27,8,14
C49,17.339684,78.562978,7,11,19
C50,17.51195,78.521016,15,8,17
C51,17.559422,78.503215,7,13,14
C52,17.465401,78.202531,18,9,15
C53,17.476758,78.525981,13,11,14
C54,17.20723,78.446947,20,11,16
C55,17.463045,78.484154,16,10,16
C56,17.454533,78.325231,10,13,18
C57,17.394697,78.653049,6,12,19
C58,17.458041,78.534462,5,12,17
C59,17.488981,78.340386,7,8,14
C60,17.59782,78.434972,18,12,19
C61,17.348063,78.207728,28,12,14
C62,17.421106,78.486146,5,11,18
C63,17.354039,78.625568,7,9,14
C64,17.357877,78.622107,7,13,15
C65,17.446003,78.695027,6,10,15
C66,17.550949,78.570384,5,8,16
C67,17.483564,78.47641,14,9,16
C68,17.302483,78.505757,11,8,17
C69,17.519318,78.524982,18,13,17
C70,17.554647,78.213808,6,9,19
C71,17.331261,78.277521,26,9,15
C72,17.2122,78.218674,10,13,16
C73,17.250824,78.461122,25,11,17
C74,17.586101,78.428633,10,12,17
C75,17.364542,78.549756,12,11,18
C76,17.587815,78.557298,23,8,16
C77,17.375589,78.239228,9,9,18
C78,17.232349,78.414157,16,12,14
C79,17.269318,78.278219,6,13,19
C80,17.485838,78.530099,25,8,18
C81,17.495159,78.477177,26,12,16
C82,17.299092,78.377986,9,13,14
C83,17.336752,78.2459,19,8,19
C84,17.542184,78.551829,16,9,15
C85,17.396646,78.436736,5,13,19
C86,17.459909,78.224029,26,12,17
C87,17.218122,78.387306,23,9,14
C88,17.415751,78.541982,20,9,14
C89,17.54688,78.518202,24,11,15
C90,17.429347,78.26425,23,10,18
C91,17.450376,78.610213,12,9,16
C92,17.278316,78.234681,18,9,18
C93,17.237777,78.541503,21,9,18
C94,17.53795,78.211636,6,10,14
C95,17.398415,78.546445,22,12,16
C96,17.550989,78.567536,25,12,14
C97,17.419189,78.411735,28,10,14
C98,17.492659,78.263845,21,13,18
C99,17.295439,78.539922,27,8,16
C100,17.24125,78.651276,24,8,19
C101,17.319054,78.249992,8,11,18
C102,17.562153,78.245643,11,11,19
C103,17.470708,78.44126,19,12,18
C104,17.317284,78.364332,25,11,18
C105,17.516632,78.594809,17,12,15
